Period,Start Date,End Date,ZIP Code,Service District,Quality of Life,Overall Feeling of Safety,Neighborhood Safety,City Appearance,Neighborhood Appearance,Nashville as Residence,Nashville as Place to Raise Children,Nashville as Workplace,Nashville as Place to Start/Grow Business,Nashville as Retirement Place,Metro Services - Overall,Value Received from Taxes,Elected Official Leadership,Elected Official Responsiveness,Elected Official Accessibility,Metro Transparency and Ethics,Metro Budgeting and Stewardship,Customer Service,Metro Communication,Decision Input Opportunity,Crime Prevention,Police - Overall,Fire and EMS - Overall,Streets and Sidewalks - Overall,Trash and Recycling - Overall,Public Education,Public Health - Overall,Public Library,Social Services - Overall,Economic Development - Overall,Parks and Recreation - Overall,Code Enforcement - Overall,Public Transit - Overall,Water Services - Overall,Metro-provided Arts and Culture - Overall,Affordable Housing - Overall,Historic Preservation - Overall,1st Priority Service,2nd Priority Service,3rd Priority Service,4th Priority Service,5th Priority Service,City Street Maintenance,Street Signs and Traffic Signals,Pedestrian Infrastructure,Curb Space Management,Bicycle Infrastructure,Trash Service,Curbside Recycling,Drop-off Recycling,Street Lighting,Public Works Personnel Professionalism,Police Visibility,Traffic Enforcement,Police Professionalism,Police Response Time,School Crossing Guards,School Resource Officers,Youth Violence Programs,Special Event Security,Fire Services,Fire Response Time,Emergency Medical Services (EMS),EMS Response Time,Fire Professionalism,EMS Professionalism,MTA Bus Service,Music City Circuit,AccessRide,Music City Star,Park and Ride,Bus Shelters,MTA Personnel Professionalism,Trash and Debris Enforcement,Lawn and Brush Enforcement,Exterior Maintenance Enforcement,Short-Term Rental Enforcement,STRP Complaint Hotline,Codes Personnel Professionalism,Codes Responsiveness,911 Services,Non-Emergency Number,hubNashville (311),Program Information Availability,Nashville.gov,Metro Video Programming,Metro Social Media,Parks Maintenance,Outdoor Athletic Fields,Walking and Biking Trails,Swimming Pools,Community Centers,Youth Recreation Programs,Senior Recreation Programs,Parks Personnel Professionalism,Park Safety,Burial Assistance Program,Family Support Services,Homeless Services,Nutrition Programs,Head Start / Early Head Start,Low Income Home Energy Assistance Program (LIHEAP),Violent Crime Victim Services,Tap Water,Water Service Reliability,Water Emergency Response,Flood Prevention,Stormwater Fund Use,Water Services Value,Water Services Communication,Water Services Information Availability,Water Services Social Media,Water Services Employee Interaction,Crime Victim,MNPD Officer Contact,311 (hubNashville) Usage,Nashville.gov Usage,Park / Community Center Usage,MTA Bus Service Usage,Bicycle Usage,Arts / Cultural Event Attendance,Public Library Usage,Metro Elected Official Contact,Public Meeting Attendance,Neighborhood Meeting Attendance,Monthly Housing Cost Over 30%,Rideshare / Bikeshare Usage,"Commute by Walking, Biking, or Bus",Affordable Housing Preference,Opioid Addiction,Neighborhood Tree Canopy,Internet Use for Information,Mobile Phone Internet Access,Home Internet Access,Natural Disaster Preparedness,$500 Emergency Expense,Healthcare Access,Healthy Food Access,Childcare Access,Pre-K Access,Public Transit Access,Park and Green Space Access,Affordable Housing Access,Diversity Support Efforts,Diversity Acceptance,Disability Access,Job Access,Neighborhood Arts and Culture,Small Business and Freelance Work Space,Farmers' Market,General Hospital,Emergency and Natural Disaster Response,No Children in Davidson County,Children Ages 0-5,Children Ages 6-13,Children Ages 14-17,Public School Attendance,Charter School Attendance,Private School Attendance,Other School Attendance,Other School Definition,School Quality,Own or Rent,Years Lived in Davidson County,Business Owner / Operator,Race / Ethnicity - White,Race / Ethnicity - Black,Race / Ethnicity - Hispanic,Race / Ethnicity - Asian or Pacific Islander,Race / Ethnicity - Native American or Alaskan Native,Race / Ethnicity - Other,Race / Ethnicity - Other Definition,Total Annual Household Income,Age,Gender Identity,Education Attained
2018Q1,02/01/2018,03/06/2018,37206,Urban Services District,Satisfied,Very Satisfied,Very Satisfied,,Dissatisfied,Good,Good,Below Average,,Good,Neutral,Satisfied,Very Satisfied,,,Very Satisfied,,Neutral,Dissatisfied,Neutral,Satisfied,Don't Know,Very Satisfied,Neutral,Dissatisfied,Satisfied,,Very Satisfied,Don't Know,,Very Satisfied,,Very Dissatisfied,,Satisfied,,,,,,,,Dissatisfied,Dissatisfied,,,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,,Satisfied,Neutral,Neutral,Neutral,,,,,Satisfied,Very Satisfied,Don't Know,Dissatisfied,Satisfied,Satisfied,,Don't Know,,Don't Know,Don't Know,Neutral,,Satisfied,Satisfied,Satisfied,Neutral,,,,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Very Dissatisfied,Don't Know,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Don't Know,Very Satisfied,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,,Yes,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,Very Satisfied,Satisfied,Don't Know,Don't Know,Very Dissatisfied,,,Satisfied,Dissatisfied,Don't Know,,,,Very Satisfied,Don't Know,,Yes,,,,,,,,,,Own,10,,Yes,,,,,,,"$60,000 to $99,999",25-34,Female,
2018Q1,02/01/2018,03/06/2018,37076,General Services District,Neutral,Satisfied,Very Satisfied,,Satisfied,Don't Know,Don't Know,Don't Know,,Don't Know,Satisfied,Neutral,Don't Know,,,Don't Know,,Satisfied,Satisfied,Don't Know,Neutral,Satisfied,Neutral,Neutral,Don't Know,Neutral,,Satisfied,Don't Know,,Satisfied,,Very Dissatisfied,,Satisfied,,,,,,,,Neutral,Satisfied,,,Neutral,Don't Know,Don't Know,Don't Know,Dissatisfied,,Satisfied,Satisfied,Satisfied,Neutral,,,,,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,,Don't Know,,Don't Know,Don't Know,Don't Know,,Don't Know,Don't Know,Don't Know,Don't Know,,,,Don't Know,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,Dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Neutral,Don't Know,Don't Know,Very Dissatisfied,,,Satisfied,Don't Know,Dissatisfied,,,,Neutral,Neutral,,Yes,,,,,,,,,,Own,,,,Yes,,,,,,"$30,000 to $59,999",65+,Male,
2018Q1,02/01/2018,03/06/2018,37189,Urban Services District,Neutral,Neutral,Satisfied,,Satisfied,Good,Neutral,Neutral,,Neutral,Satisfied,Neutral,Neutral,,,Neutral,,Satisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,,Satisfied,Dissatisfied,,Neutral,,Dissatisfied,,Neutral,,,,,,,,Neutral,Neutral,,,Dissatisfied,Satisfied,Neutral,Neutral,Dissatisfied,,Dissatisfied,Neutral,Satisfied,Neutral,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Dissatisfied,,Neutral,Dissatisfied,Dissatisfied,,Neutral,Neutral,Satisfied,Neutral,,,,Satisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,,No,Yes,No,,,,Yes,,,,,,,No,No,Yes,,,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,,,Neutral,Neutral,Dissatisfied,,,,Dissatisfied,Satisfied,,Yes,,,,,,,,,,Rent,64,,Yes,,,,,,,"$30,000 to $59,999",55-64,Female,
2018Q1,02/01/2018,03/06/2018,37072,General Services District,Satisfied,Satisfied,Very Satisfied,,Very Satisfied,Excellent,Excellent,Excellent,,Excellent,Satisfied,Satisfied,Very Satisfied,,,Very Satisfied,,Don't Know,Neutral,Don't Know,Dissatisfied,Satisfied,Satisfied,Don't Know,Don't Know,Dissatisfied,,Don't Know,Don't Know,,Satisfied,,Neutral,,Don't Know,,,,,,,,Dissatisfied,Satisfied,,,Neutral,Don't Know,Don't Know,Don't Know,Neutral,,Dissatisfied,Neutral,Satisfied,Neutral,,,,,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,Don't Know,,Don't Know,Don't Know,Don't Know,,Dissatisfied,Dissatisfied,Don't Know,Don't Know,,,,Satisfied,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,No,No,No,,,,No,,,,,,,Yes,Yes,Yes,,,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,,Don't Know,Don't Know,Don't Know,,,,Satisfied,Don't Know,,Yes,,,,,,,,,,Own,56,,Yes,,,,,,,"$100,000 or more",55-64,Female,
2018Q1,02/01/2018,03/06/2018,37205,Urban Services District,Satisfied,Satisfied,Very Satisfied,,Very Satisfied,Excellent,Good,Good,,Good,Satisfied,Neutral,Neutral,,,Neutral,,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Neutral,,Satisfied,Neutral,,Very Satisfied,,Neutral,,Very Satisfied,,,,,,,,Dissatisfied,Satisfied,,,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,,Neutral,Satisfied,Satisfied,Satisfied,,,,,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,Don't Know,,Don't Know,Don't Know,Don't Know,,Don't Know,Don't Know,Don't Know,Don't Know,,,,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Neutral,Satisfied,Don't Know,Satisfied,Dissatisfied,Satisfied,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,,No,No,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,Satisfied,Satisfied,Don't Know,Don't Know,Neutral,,,Don't Know,Satisfied,Neutral,,,,Very Satisfied,Neutral,,Yes,,,,,,,,,,Own,13,,Yes,,,,,,,,55-64,Female,
2018Q1,02/01/2018,03/06/2018,37207,General Services District,Very Dissatisfied,Dissatisfied,Dissatisfied,,Neutral,Neutral,Neutral,Neutral,,Neutral,Very Dissatisfied,Very Dissatisfied,Dissatisfied,,,Dissatisfied,,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,,Satisfied,Dissatisfied,,Neutral,,Satisfied,,Satisfied,,,,,,,,Very Dissatisfied,Satisfied,,,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Satisfied,,Satisfied,Satisfied,Dissatisfied,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,,,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,No,No,No,No,,No,No,No,,,,No,,,,,,,Yes,Yes,Yes,,,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,,,Dissatisfied,Dissatisfied,Dissatisfied,,,,Dissatisfied,Satisfied,,,,Yes,,Yes,,,,,Average,Rent,15,,Yes,,,,,,,"Under $30,000",35-44,Female,
2018Q1,02/01/2018,03/06/2018,37207,Urban Services District,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Don't Know,,,Don't Know,,Neutral,Neutral,Don't Know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,,Neutral,,Neutral,,Neutral,,,,,,,,Dissatisfied,Neutral,,,Don't Know,Neutral,Neutral,Don't Know,Neutral,,Neutral,Neutral,Dissatisfied,Neutral,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Don't Know,,Don't Know,Don't Know,Neutral,,Neutral,Neutral,Don't Know,Don't Know,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,,Yes,No,No,,,,Yes,,,,,,,No,Yes,Yes,,,Neutral,Don't Know,Don't Know,Don't Know,Neutral,,,Neutral,Don't Know,Neutral,,,,Neutral,Neutral,,,,,Yes,Yes,,,,,Poor,Rent,47,,,Yes,,,,,,"Under $30,000",45-54,Female,
2018Q1,02/01/2018,03/06/2018,37205,General Services District,Very Satisfied,Satisfied,Very Satisfied,,Very Satisfied,Excellent,Excellent,Excellent,,Excellent,Satisfied,Neutral,Dissatisfied,,,Neutral,,Don't Know,Don't Know,Neutral,Neutral,Satisfied,Very Satisfied,Neutral,Neutral,Neutral,,Satisfied,Don't Know,,Satisfied,,Neutral,,Satisfied,,,,,,,,Dissatisfied,Satisfied,,,Neutral,Don't Know,Don't Know,Don't Know,Satisfied,,Satisfied,Neutral,Don't Know,Don't Know,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Dissatisfied,,Dissatisfied,Dissatisfied,Dissatisfied,,Don't Know,Don't Know,Don't Know,Don't Know,,,,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,No,No,No,,No,No,Yes,,,,No,,,,,,,No,No,Yes,,,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,,,Neutral,Neutral,Don't Know,,,,Neutral,Don't Know,,Yes,,,,,,,,,,Own,65,,Yes,,,,,,,"$100,000 or more",65+,Male,
2018Q1,02/01/2018,03/06/2018,37211,Urban Services District,Satisfied,Satisfied,Neutral,,Dissatisfied,Good,Don't Know,Good,,Good,Satisfied,Very Dissatisfied,Neutral,,,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Dissatisfied,,Satisfied,Dissatisfied,,Don't Know,,Neutral,,Satisfied,,,,,,,,Dissatisfied,Neutral,,,Dissatisfied,Dissatisfied,Neutral,Don't Know,Very Dissatisfied,,Neutral,Neutral,Neutral,Dissatisfied,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Don't Know,,Don't Know,Don't Know,Don't Know,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,,,Don't Know,Neutral,Don't Know,Dissatisfied,Neutral,Neutral,Don't Know,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,No,No,No,,No,No,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,Dissatisfied,Very Dissatisfied,Don't Know,Don't Know,Dissatisfied,,,Very Dissatisfied,Very Dissatisfied,Neutral,,,,Dissatisfied,Don't Know,,Yes,,,,,,,,,,Own,24,,,Yes,,,,,,"$30,000 to $59,999",45-54,Male,
2018Q1,02/01/2018,03/06/2018,37203,Urban Services District,Dissatisfied,Very Dissatisfied,Very Dissatisfied,,Dissatisfied,Poor,Poor,Neutral,,Poor,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,,Very Dissatisfied,,Very Dissatisfied,Neutral,Don't Know,Dissatisfied,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Very Dissatisfied,,Satisfied,Dissatisfied,,Don't Know,,Don't Know,,Don't Know,,,,,,,,Very Dissatisfied,Very Dissatisfied,,,Neutral,Satisfied,Very Dissatisfied,Don't Know,Very Dissatisfied,,Dissatisfied,Very Dissatisfied,Neutral,Satisfied,,,,,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,Don't Know,,Don't Know,Don't Know,Don't Know,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,,,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,Yes,Yes,No,,,,No,,,,,,,No,Yes,No,,,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,,,Don't Know,Don't Know,Don't Know,,,,Don't Know,Neutral,,,,Yes,Yes,Yes,,,,,Good,Own,8,,,,,Yes,,,,"$100,000 or more",25-34,Female,
2018Q1,02/01/2018,03/06/2018,37216,Urban Services District,Satisfied,Dissatisfied,Dissatisfied,,Neutral,Good,Neutral,Good,,Below Average,Satisfied,Neutral,Satisfied,,,Dissatisfied,,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Very Dissatisfied,Satisfied,Dissatisfied,,Very Satisfied,Don't Know,,Very Satisfied,,Neutral,,Satisfied,,,,,,,,Dissatisfied,Satisfied,,,Neutral,Satisfied,Dissatisfied,Very Satisfied,Dissatisfied,,Satisfied,Satisfied,Satisfied,Don't Know,,,,,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,,Satisfied,,Don't Know,Don't Know,Neutral,,Don't Know,Neutral,Neutral,Neutral,,,,Don't Know,Satisfied,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Neutral,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,,Yes,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,Neutral,Satisfied,Don't Know,Don't Know,Neutral,,,Satisfied,Neutral,Don't Know,,,,Satisfied,Don't Know,,Yes,,,,,,,,,,Own,10,,Yes,,,,,,,"$100,000 or more",25-34,Female,
2018Q1,02/01/2018,03/06/2018,37209,Urban Services District,Very Satisfied,Satisfied,Very Satisfied,,Satisfied,Good,Neutral,Neutral,,Good,Very Satisfied,Very Satisfied,Very Satisfied,,,Satisfied,,Very Satisfied,Very Satisfied,Neutral,Neutral,Satisfied,Don't Know,Dissatisfied,Very Satisfied,Neutral,,Satisfied,Don't Know,,Very Satisfied,,Neutral,,Very Satisfied,,,,,,,,Satisfied,Satisfied,,,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,,Very Satisfied,Satisfied,Satisfied,Don't Know,,,,,Neutral,Don't Know,Neutral,Don't Know,Neutral,Neutral,,Neutral,,Neutral,Neutral,Neutral,,Don't Know,Satisfied,Neutral,Very Dissatisfied,,,,Don't Know,Dissatisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Neutral,Neutral,Don't Know,Satisfied,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,,No,No,Yes,,,,Yes,,,,,,,Yes,No,Yes,,,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,,,Neutral,Dissatisfied,Don't Know,,,,Neutral,Don't Know,,Yes,,,,,,,,,,Own,9,,Yes,,,,,,,"$100,000 or more",65+,Female,
2018Q1,02/01/2018,03/06/2018,37209,Urban Services District,Satisfied,Very Satisfied,Very Satisfied,,Neutral,Good,Good,Good,,Good,Satisfied,Neutral,Satisfied,,,Dissatisfied,,Satisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,,Satisfied,Satisfied,,Satisfied,,Very Dissatisfied,,Satisfied,,,,,,,,Dissatisfied,Very Dissatisfied,,,Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,,Neutral,Satisfied,Very Dissatisfied,Dissatisfied,,,,,Very Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,,Very Dissatisfied,,Very Dissatisfied,Very Dissatisfied,Neutral,,Neutral,Very Satisfied,Satisfied,Neutral,,,,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Don't Know,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,,Yes,Yes,Yes,,,,No,,,,,,,Yes,Yes,Yes,,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,Very Dissatisfied,,,Very Dissatisfied,Dissatisfied,Satisfied,,,,Very Satisfied,Neutral,,Yes,,,,,,,,,,Rent,6,,Yes,,Yes,,,,,"$30,000 to $59,999",25-34,9,
2018Q1,02/01/2018,03/06/2018,37211,Urban Services District,Dissatisfied,Neutral,Dissatisfied,,Very Satisfied,Below Average,Below Average,Below Average,,Below Average,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,,Very Dissatisfied,,Don't Know,Dissatisfied,Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,,Satisfied,Very Dissatisfied,,Satisfied,,Don't Know,,Satisfied,,,,,,,,Satisfied,Satisfied,,,Don't Know,Very Satisfied,Satisfied,Don't Know,Dissatisfied,,Satisfied,Dissatisfied,Neutral,Satisfied,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Don't Know,,Don't Know,Don't Know,Don't Know,,Satisfied,Satisfied,Neutral,Neutral,,,,Don't Know,Very Satisfied,Don't Know,Dissatisfied,Dissatisfied,Don't Know,Dissatisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,Neutral,Dissatisfied,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,,No,No,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Don't Know,,,Don't Know,Don't Know,Don't Know,,,,Satisfied,Neutral,,,Yes,,,,,,,,,Rent,10,,Yes,,,,,,,"$30,000 to $59,999",45-54,Female,
2018Q1,02/01/2018,03/06/2018,37204,Urban Services District,Satisfied,Satisfied,Neutral,,Dissatisfied,Good,Good,Good,,Don't Know,Neutral,Dissatisfied,Neutral,,,Very Dissatisfied,,Don't Know,Don't Know,Dissatisfied,Neutral,Satisfied,Neutral,Dissatisfied,Satisfied,Don't Know,,Neutral,Don't Know,,Don't Know,,Dissatisfied,,Neutral,,,,,,,,Dissatisfied,Dissatisfied,,,Very Satisfied,Neutral,Neutral,Neutral,Neutral,,Neutral,Dissatisfied,Don't Know,Satisfied,,,,,Don't Know,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,,Don't Know,,Don't Know,Don't Know,Don't Know,,Neutral,Neutral,Neutral,Neutral,,,,Satisfied,Satisfied,Don't Know,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Don't Know,Satisfied,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,,No,No,Yes,,,,No,,,,,,,Yes,Yes,Yes,,,Don't Know,Dissatisfied,Don't Know,Don't Know,Satisfied,,,Satisfied,Satisfied,Don't Know,,,,Don't Know,Don't Know,,Yes,,,,,,,,,,Rent,5,,Yes,,,,,,,"$30,000 to $59,999",25-34,Female,
2018Q1,02/01/2018,03/06/2018,37221,General Services District,Satisfied,Neutral,Satisfied,,Satisfied,Excellent,Excellent,Excellent,,Excellent,Neutral,Neutral,Dissatisfied,,,Neutral,,Satisfied,Don't Know,Don't Know,Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,,Satisfied,Neutral,,Satisfied,,Don't Know,,Dissatisfied,,,,,,,,Dissatisfied,Neutral,,,Don't Know,Don't Know,Don't Know,Don't Know,Very Dissatisfied,,Neutral,Neutral,Neutral,Satisfied,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Don't Know,,Don't Know,Don't Know,Don't Know,,Satisfied,Neutral,Neutral,Don't Know,,,,Very Satisfied,Satisfied,Don't Know,Neutral,Satisfied,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,,No,No,No,,,,Yes,,,,,,,Yes,Yes,Yes,,,Neutral,Satisfied,Don't Know,Don't Know,Don't Know,,,Satisfied,Satisfied,Satisfied,,,,Don't Know,Don't Know,,Yes,,,,,,,,,,Own,65,,Yes,,Yes,,,,,"$30,000 to $59,999",65+,Female,
2018Q1,02/01/2018,03/06/2018,37206,Urban Services District,Satisfied,Neutral,Very Satisfied,,Very Satisfied,Excellent,Excellent,Excellent,,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,,,Very Satisfied,,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,,Satisfied,Satisfied,,Satisfied,,Satisfied,,Satisfied,,,,,,,,Satisfied,Very Satisfied,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Very Satisfied,,Don't Know,Very Satisfied,Very Satisfied,,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,,,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,,Yes,No,No,,,,No,,,,,,,Yes,No,No,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,,Very Satisfied,Don't Know,Very Satisfied,,,,Satisfied,Satisfied,,,,,Yes,Yes,,,,,Failing,Rent,24,,,Yes,,,,,,"Under $30,000",45-54,Female,
2018Q1,02/01/2018,03/06/2018,37206,Urban Services District,Satisfied,Satisfied,Satisfied,,Dissatisfied,Excellent,Excellent,Excellent,,Excellent,Neutral,Neutral,Satisfied,,,Dissatisfied,,Dissatisfied,Dissatisfied,Don't Know,Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Neutral,Don't Know,,Satisfied,Don't Know,,Very Satisfied,,Very Dissatisfied,,Satisfied,,,,,,,,Dissatisfied,Neutral,,,Don't Know,Neutral,Neutral,Neutral,Dissatisfied,,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,,,,,Very Satisfied,Very Satisfied,Don't Know,Don't Know,Very Satisfied,Don't Know,,Neutral,,Don't Know,Don't Know,Very Dissatisfied,,Neutral,Neutral,Neutral,Don't Know,,,,Don't Know,Neutral,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,,No,No,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,Neutral,Satisfied,Neutral,Neutral,Neutral,,,Don't Know,Satisfied,Don't Know,,,,Very Satisfied,Don't Know,,,Yes,,,,,,,,,Own,13,,Yes,,,,,,,"$100,000 or more",25-34,Female,
